link_id, from_tile_id, from_pos_idx, to_tile_id, to_pos_idx, control_radius_percent, color, ref_color, opacity
l1639,tile4,175,tile5,188,0.3, ,c4,0.1
l1640,tile5,188,tile4,176,0.3, ,c5,0.1
l1641,tile4,176,tile1,196,0.3, ,c4,0.1
l1642,tile1,196,tile0,162,0.3, ,c1,0.1
l1643,tile0,163,tile9,192,0.3, ,c0,0.1
l1644,tile9,192,tile5,189,0.3, ,c9,0.1
l1645,tile5,189,tile3,174,0.3, ,c5,0.1
l1646,tile3,174,tile8,182,0.3, ,c3,0.1
l1647,tile8,183,tile3,175,0.3, ,c8,0.1
l1648,tile3,175,tile7,181,0.3, ,c3,0.1
l1649,tile7,181,tile8,184,0.3, ,c7,0.1
l1650,tile8,184,tile6,176,0.3, ,c8,0.1
l1651,tile6,176,tile3,176,0.3, ,c6,0.1
l1652,tile3,176,tile6,177,0.3, ,c3,0.1
l1653,tile6,177,tile0,164,0.3, ,c6,0.1
l1654,tile0,164,tile9,193,0.3, ,c0,0.1
l1655,tile9,193,tile5,190,0.3, ,c9,0.1
l1656,tile5,190,tile0,165,0.3, ,c5,0.1
l1657,tile0,165,tile6,178,0.3, ,c0,0.1
l1658,tile6,178,tile8,185,0.3, ,c6,0.1
l1659,tile8,185,tile0,166,0.3, ,c8,0.1
l1660,tile0,167,tile6,179,0.3, ,c0,0.1
l1661,tile6,179,tile4,177,0.3, ,c6,0.1
l1662,tile4,177,tile2,187,0.3, ,c4,0.1
l1663,tile2,188,tile5,191,0.3, ,c2,0.1
l1664,tile5,191,tile1,197,0.3, ,c5,0.1
l1665,tile1,197,tile2,189,0.3, ,c1,0.1
l1666,tile2,189,tile5,192,0.3, ,c2,0.1
l1667,tile5,192,tile2,190,0.3, ,c5,0.1
l1668,tile2,190,tile0,168,0.3, ,c2,0.1
l1669,tile0,168,tile5,193,0.3, ,c0,0.1
l1670,tile5,193,tile1,198,0.3, ,c5,0.1
l1671,tile1,199,tile7,182,0.3, ,c1,0.1
l1672,tile7,182,tile3,177,0.3, ,c7,0.1
l1673,tile3,177,tile9,194,0.3, ,c3,0.1
l1674,tile9,194,tile2,191,0.3, ,c9,0.1
l1675,tile2,191,tile9,195,0.3, ,c2,0.1
l1676,tile9,195,tile8,186,0.3, ,c9,0.1
l1677,tile8,186,tile4,178,0.3, ,c8,0.1
l1678,tile4,178,tile8,187,0.3, ,c4,0.1
l1679,tile8,187,tile9,196,0.3, ,c8,0.1
l1680,tile9,196,tile6,180,0.3, ,c9,0.1
l1681,tile6,180,tile0,169,0.3, ,c6,0.1
l1682,tile0,169,tile8,188,0.3, ,c0,0.1
